"ID","DOCULECT","CONCEPT","VALUE","FORM","TOKENS","MORPHEMES","COGIDS","COGID","ALIGNMENT","NOTE"
404,"Jirel","Bad","meleba","meleba","m e + l e + b a","_bad good/le _:pa-suffix","105 108 10",110,"m e + l e + b a","[x]"
663,"Kagate","Bad","majiba","majiba","m a + j i + b a","not good/ji _:ba-suffix","105 110 10",114,"m a + j i + b a","[x]"
1425,"Sherpa","Bad","melokpa","melokpa","m e + l o.k + p a","not good/lok _:pa-suffix","105 114 10",112,"m e + l o.k + p a","[x]"
145,"Gyalsumdo","Bad","majabu","majabu","m a + j a + b u","not good _:bu-suffix/bu","105 1149 107",33,"m a + j a + b u","[x]"
664,"Kagate","Bad","marikpa","marikpa","m a + r i.k + !p/b a","not good/rik _:ba-suffix","105 117 10",111,"m a + r i.k + !p/b a","[x]"
919,"Lowa","Bad","a","a","a","bad","111",39,"a","[x]"
1171,"Nubri","Bad","ɦawɛ","ɦawɛ","ɦ a + w ɛ","bad/ha bad/we","112 113",40,"ɦ a + w ɛ","[x]"
920,"Lowa","Bad","ŋempa","ŋempa","ŋ e.m + p a","bad/ŋem _:pa-suffix","115 10",32,"ŋ e.m + p a","[x]"
1668,"Tsum","Bad","nepo","nepo","n e + p o","bad/ne _:po-suffix","115 109",32,"n e - + p o","[x]"
1932,"Yolmo","Bad","tsokpa","tsokpa","ts o.k + p a","bad/tsok _:pa-suffix/pa","116 10",116,"ts o.k + p a","[x]"
